,PS_TRABAJA-ID1-anho,PS_TRABAJA-HHID-identificacion_cuestionario_del_hogar,PS_TRABAJA-HVIDX-numero_de_orden_en_el_hogar,PS_TRABAJA-QHCLUSTER-conglomerado,PS_TRABAJA-QHNUMBER-vivienda_seleccionada,PS_TRABAJA-QHHOME-hogar_seleccionado,PS_TRABAJA-PS94_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_TRABAJA-PS94_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_TRABAJA-PS94_1S-alguien_mas_es_beneficiario,PS_TRABAJA-PS2-numero_de_orden,PS_TRABAJA-PS94_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_TRABAJA-PS94_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_TRABAJA-PS94_1S-alguien_mas_es_beneficiario_LABEL
56,2019,212908601,1,2129,86,1,0,2,1,1,0,2,Si
57,2019,212908601,2,2129,86,1,0,2,2,2,0,2,No
58,2019,235900901,2,2359,9,1,0,2,2,1,0,2,No
59,2019,235901101,1,2359,11,1,0,1,2,1,0,1,No
60,2019,235901201,5,2359,12,1,0,1,1,1,0,1,Si
61,2019,235901201,7,2359,12,1,0,1,2,2,0,1,No
62,2019,235904301,1,2359,43,1,0,2,1,1,0,2,Si
63,2019,235904301,2,2359,43,1,0,2,2,2,0,2,No
64,2019,241904501,2,2419,45,1,0,1,2,1,0,1,No
65,2019,242205701,3,2422,57,1,0,1,2,1,0,1,No
66,2019,243101901,3,2431,19,1,0,1,2,1,0,1,No
67,2019,244705901,1,2447,59,1,5,0,2,1,5,0,No
68,2019,268517301,1,2685,173,1,0,3,2,1,0,3,No
69,2019,269611001,2,2696,110,1,0,1,2,1,0,1,No
70,2019,275115801,1,2751,158,1,0,1,2,1,0,1,No
71,2019,276102201,1,2761,22,1,0,1,2,1,0,1,No
72,2019,276901901,1,2769,19,1,7,10,2,1,7,10,No
73,2019,277803601,2,2778,36,1,98,0,2,1,No sabe,0,No
74,2019,283901001,2,2839,10,1,0,1,2,1,0,1,No
75,2019,283904401,1,2839,44,1,0,1,2,1,0,1,No
76,2019,287100201,2,2871,2,1,0,3,2,1,0,3,No
77,2019,312501001,2,3125,10,1,0,2,2,1,0,2,No
78,2019,312508201,1,3125,82,1,0,2,1,1,0,2,Si
79,2019,312508201,3,3125,82,1,0,2,2,2,0,2,No
80,2019,312508301,2,3125,83,1,0,2,2,1,0,2,No
81,2019,312508501,1,3125,85,1,0,2,2,1,0,2,No
