,PS_PENSION65-ID1-anho,PS_PENSION65-HHID-identificacion_cuestionario_del_hogar,PS_PENSION65-HVIDX-numero_de_orden_en_el_hogar,PS_PENSION65-QHCLUSTER-conglomerado,PS_PENSION65-QHNUMBER-vivienda_seleccionada,PS_PENSION65-QHHOME-hogar_seleccionado,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario,PS_PENSION65-PS3-numero_de_orden,PS_PENSION65-PS100_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_PENSION65-PS100_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_PENSION65-PS100_1S-alguien_mas_es_beneficiario_LABEL
142,2019,14804201,1,148,42,1,1,0,2,1,1,0,No
143,2019,14900601,1,149,6,1,0,3,1,1,0,3,Si
144,2019,14900601,2,149,6,1,1,0,2,2,1,0,No
145,2019,14902901,1,149,29,1,2,0,2,1,2,0,No
146,2019,14903301,1,149,33,1,1,10,2,1,1,10,No
147,2019,14904501,1,149,45,1,5,98,2,1,5,No sabe,No
148,2019,14904801,1,149,48,1,3,0,2,1,3,0,No
149,2019,15003201,1,150,32,1,5,0,2,1,5,0,No
150,2019,15003401,1,150,34,1,4,0,1,1,4,0,Si
151,2019,15003401,2,150,34,1,4,0,2,2,4,0,No
152,2019,15004601,1,150,46,1,3,0,1,1,3,0,Si
153,2019,15004601,2,150,46,1,2,0,2,2,2,0,No
154,2019,15101601,1,151,16,1,5,0,2,1,5,0,No
155,2019,15104401,1,151,44,1,4,0,2,1,4,0,No
156,2019,15104601,1,151,46,1,2,6,1,1,2,6,Si
157,2019,15104601,2,151,46,1,2,6,2,2,2,6,No
158,2019,15108401,1,151,84,1,2,0,2,1,2,0,No
159,2019,15109001,1,151,90,1,5,1,2,1,5,1,No
160,2019,15204101,1,152,41,1,2,0,1,1,2,0,Si
161,2019,15204101,3,152,41,1,2,0,2,2,2,0,No
162,2019,15300901,1,153,9,1,4,0,1,1,4,0,Si
163,2019,15300901,2,153,9,1,4,0,2,2,4,0,No
164,2019,15304401,2,153,44,1,1,5,2,1,1,5,No
165,2019,15304601,4,153,46,1,1,0,2,1,1,0,No
166,2019,15307701,1,153,77,1,3,0,1,1,3,0,Si
167,2019,15307701,2,153,77,1,3,0,2,2,3,0,No
168,2019,15401301,1,154,13,1,3,98,2,1,3,No sabe,No
169,2019,15401401,1,154,14,1,2,0,1,1,2,0,Si
170,2019,15401401,2,154,14,1,2,0,2,2,2,0,No
171,2019,15401501,1,154,15,1,2,0,2,1,2,0,No
172,2019,15403401,1,154,34,1,5,0,2,1,5,0,No
173,2019,15404101,1,154,41,1,4,0,2,1,4,0,No
