qhcluster,qhnumber,qhhome,ps109_1r,ps109_1a,ps109_1m,ps109_1s,ps7,hvidx,hhid
32,37,1,si,2.0,3.0,,1,4,      003203701
32,37,1,si,2.0,3.0,,2,5,      003203701
32,37,1,si,1.0,3.0,,3,6,      003203701
32,40,1,si,2.0,3.0,,1,3,      003204001
32,40,1,si,0.0,3.0,,2,4,      003204001
32,46,1,si,2.0,3.0,,1,3,      003204601
33,1,1,si,2.0,3.0,,1,4,      003300101
33,1,1,si,2.0,3.0,,2,5,      003300101
33,1,1,si,2.0,3.0,,3,6,      003300101
33,1,1,si,0.0,3.0,,4,7,      003300101
33,1,1,si,2.0,3.0,,5,12,      003300101
33,2,1,si,2.0,3.0,,1,3,      003300201
33,3,1,si,2.0,3.0,,1,8,      003300301
33,4,1,si,0.0,3.0,,1,2,      003300401
33,4,1,si,2.0,3.0,,2,6,      003300401
33,4,1,si,2.0,3.0,,3,7,      003300401
33,5,1,si,2.0,3.0,,1,3,      003300501
33,26,1,si,2.0,3.0,,1,4,      003302601
33,26,1,si,2.0,3.0,,2,5,      003302601
33,26,1,si,2.0,3.0,,3,6,      003302601
33,29,1,si,2.0,3.0,,1,3,      003302901
33,81,1,si,1.0,3.0,,1,2,      003308101
33,82,1,si,2.0,3.0,,1,5,      003308201
33,82,1,si,2.0,3.0,,2,6,      003308201
33,82,1,si,2.0,3.0,,3,7,      003308201
33,82,1,si,2.0,3.0,,4,8,      003308201
33,83,1,si,2.0,3.0,,1,4,      003308301
33,83,1,si,2.0,3.0,,2,5,      003308301
33,83,1,si,2.0,3.0,,3,6,      003308301
33,83,1,si,0.0,3.0,,4,7,      003308301
33,84,1,si,2.0,3.0,,1,4,      003308401
33,84,1,si,2.0,3.0,,2,5,      003308401
33,84,1,si,2.0,3.0,,3,6,      003308401
33,84,1,si,0.0,3.0,,4,7,      003308401
33,85,1,si,2.0,3.0,,1,2,      003308501
34,1,1,si,1.0,2.0,,1,5,      003400101
34,2,1,si,0.0,5.0,,1,2,      003400201
34,3,1,si,0.0,6.0,,1,2,      003400301
34,3,1,no,,,,2,3,      003400301
34,4,1,no,,,,1,3,      003400401
34,5,1,si,1.0,2.0,,1,3,      003400501
34,5,1,si,1.0,2.0,,2,4,      003400501
34,5,1,no,,,,3,5,      003400501
34,5,1,no,,,,4,6,      003400501
34,7,1,no,,,,1,3,      003400701
34,8,1,si,0.0,5.0,,1,3,      003400801
34,10,1,si,0.0,5.0,,1,3,      003401001
34,10,1,no,,,,2,4,      003401001
34,21,1,si,1.0,2.0,,1,3,      003402101
34,21,1,si,1.0,2.0,,2,4,      003402101
34,21,1,9,99.0,99.0,,3,5,      003402101
34,22,1,no,,,,1,3,      003402201
34,24,1,si,0.0,5.0,,1,4,      003402401
34,24,1,no,,,,2,5,      003402401
34,24,1,no,,,,3,6,      003402401
34,25,1,si,0.0,5.0,,1,3,      003402501
34,25,1,si,0.0,5.0,,2,4,      003402501
35,21,1,si,2.0,2.0,,1,2,      003502101
35,22,1,si,2.0,2.0,,1,3,      003502201
35,22,1,si,2.0,2.0,,2,4,      003502201
35,22,1,si,2.0,2.0,,3,5,      003502201
35,22,1,si,2.0,2.0,,4,6,      003502201
35,23,1,si,2.0,2.0,,1,4,      003502301
35,23,1,si,2.0,2.0,,2,5,      003502301
35,23,1,si,2.0,2.0,,3,6,      003502301
35,24,1,si,2.0,2.0,,1,3,      003502401
35,24,1,si,2.0,2.0,,2,4,      003502401
35,24,1,si,2.0,2.0,,3,5,      003502401
35,24,1,si,0.0,2.0,,4,6,      003502401
35,24,1,si,2.0,2.0,,5,9,      003502401
35,25,1,si,2.0,2.0,,1,3,      003502501
35,25,1,si,2.0,2.0,,2,4,      003502501
35,25,1,si,2.0,2.0,,3,5,      003502501
35,25,1,si,0.0,2.0,,4,6,      003502501
35,25,1,si,0.0,2.0,,5,7,      003502501
35,59,1,si,2.0,2.0,,1,3,      003505901
35,59,1,si,2.0,2.0,,2,4,      003505901
35,60,1,si,2.0,2.0,,1,3,      003506001
35,60,1,si,2.0,2.0,,2,4,      003506001
35,60,1,si,0.0,2.0,,3,5,      003506001
35,61,1,si,0.0,2.0,,1,3,      003506101
35,82,1,si,2.0,1.0,,1,3,      003508201
35,82,1,si,0.0,1.0,,2,4,      003508201
35,83,1,si,0.0,2.0,,1,3,      003508301
35,85,1,si,2.0,2.0,,1,2,      003508501
35,86,1,si,1.0,2.0,,1,3,      003508601
35,86,1,si,1.0,2.0,,2,4,      003508601
36,83,1,no,,,,1,5,      003608301
36,83,1,no,,,,2,6,      003608301
36,83,1,no,,,,3,7,      003608301
36,85,1,no,,,,1,4,      003608501
36,87,1,no,,,,1,6,      003608701
36,87,1,no,,,,2,7,      003608701
36,166,1,si,1.0,1.0,,1,3,      003616601
36,166,1,si,1.0,1.0,,2,4,      003616601
36,167,1,si,2.0,1.0,,1,5,      003616701
36,167,1,si,2.0,1.0,,2,6,      003616701
36,167,1,si,2.0,1.0,,3,7,      003616701
36,168,1,si,1.0,1.0,,1,3,      003616801
36,168,1,si,0.0,1.0,,2,4,      003616801
36,172,1,no,,,,1,5,      003617201
36,172,1,no,,,,2,7,      003617201
36,172,1,no,,,,3,8,      003617201
36,172,1,no,,,,4,9,      003617201
36,172,1,no,,,,5,11,      003617201
36,175,1,si,2.0,1.0,,1,5,      003617501
36,175,1,si,2.0,1.0,,2,6,      003617501
36,175,1,si,2.0,1.0,,3,7,      003617501
37,16,1,si,2.0,1.0,,1,6,      003701601
37,17,1,si,2.0,1.0,,1,3,      003701701
37,20,1,si,1.0,0.0,,1,3,      003702001
37,20,1,si,1.0,0.0,,2,4,      003702001
37,20,1,si,1.0,0.0,,3,5,      003702001
37,38,1,si,2.0,1.0,,1,3,      003703801
37,38,1,no,,,,2,4,      003703801
37,38,1,no,,,,3,5,      003703801
37,38,1,no,,,,4,6,      003703801
37,39,1,no,,,,1,4,      003703901
37,39,1,no,,,,2,5,      003703901
37,40,1,no,,,,1,3,      003704001
37,71,1,si,0.0,1.0,,1,3,      003707101
37,71,1,si,1.0,1.0,,2,5,      003707101
37,71,1,si,1.0,1.0,,3,6,      003707101
37,73,1,si,1.0,0.0,,1,4,      003707301
37,73,1,si,1.0,0.0,,2,5,      003707301
37,73,1,si,1.0,0.0,,3,6,      003707301
38,21,1,si,0.0,3.0,,1,3,      003802101
38,22,1,si,0.0,3.0,,1,3,      003802201
38,23,1,si,2.0,3.0,,1,3,      003802301
38,23,1,si,0.0,3.0,,2,4,      003802301
38,28,1,no,,,,1,3,      003802801
38,28,1,si,1.0,3.0,,2,4,      003802801
38,29,1,no,,,,1,4,      003802901
38,29,1,no,,,,2,5,      003802901
38,31,1,no,,,,1,3,      003803101
38,31,1,si,0.0,2.0,,2,4,      003803101
39,1,1,si,1.0,0.0,,1,5,      003900101
39,1,1,si,1.0,0.0,,2,6,      003900101
39,1,1,no,,,,3,7,      003900101
39,14,1,no,,,,1,3,      003901401
39,21,1,si,1.0,0.0,,1,3,      003902101
39,29,1,no,,,,1,5,      003902901
39,40,1,si,1.0,0.0,,1,3,      003904001
39,40,1,si,1.0,0.0,,2,4,      003904001
39,40,1,no,,,,3,5,      003904001
39,45,1,si,1.0,0.0,,1,4,      003904501
39,48,1,si,1.0,0.0,,1,3,      003904801
39,61,1,si,1.0,0.0,,1,3,      003906101
39,79,1,si,1.0,0.0,,1,3,      003907901
39,79,1,si,1.0,0.0,,2,4,      003907901
40,11,1,no,,,,1,4,      004001101
40,14,1,no,,,,1,3,      004001401
40,14,1,no,,,,2,4,      004001401
40,15,1,no,,,,1,3,      004001501
40,69,1,no,,,,1,3,      004006901
40,71,1,no,,,,1,3,      004007101
40,71,1,no,,,,2,4,      004007101
40,72,1,no,,,,1,3,      004007201
40,74,1,no,,,,1,3,      004007401
41,12,1,si,2.0,0.0,,1,3,      004101201
41,12,1,si,2.0,0.0,,2,4,      004101201
41,12,1,si,2.0,0.0,,3,5,      004101201
41,13,1,si,5.0,2.0,,1,3,      004101301
41,13,1,si,5.0,2.0,,2,4,      004101301
41,14,1,no,,,,1,4,      004101401
41,92,1,si,2.0,0.0,,1,3,      004109201
41,93,1,si,1.0,0.0,,1,5,      004109301
41,95,1,si,1.0,0.0,,1,3,      004109501
41,95,1,si,1.0,0.0,,2,4,      004109501
41,97,1,si,1.0,0.0,,1,3,      004109701
41,97,1,si,1.0,0.0,,2,5,      004109701
