qhcluster,qhnumber,qhhome,ps104_1a,ps104_1m,ps104_1s,ps5,hvidx,hhid
438,68,1,2,0.0,no,1,2,      043806801
448,30,1,0,2.0,no,1,2,      044803001
448,32,1,2,3.0,no,1,2,      044803201
448,81,1,5,2.0,si,1,7,      044808101
448,81,1,3,4.0,no,2,8,      044808101
448,82,1,2,0.0,no,1,2,      044808201
448,83,1,99,0.0,no,1,2,      044808301
453,10,1,10,0.0,si,1,1,      045301001
453,10,1,1,0.0,no,2,3,      045301001
453,48,1,4,0.0,no,1,2,      045304801
454,7,1,5,6.0,no,1,2,      045400701
454,9,1,8,6.0,no,1,2,      045400901
454,51,1,1,6.0,no,1,2,      045405101
457,93,1,2,0.0,no,1,2,      045709301
457,97,1,10,0.0,no,1,4,      045709701
462,5,1,2,0.0,no,1,1,      046200501
462,65,1,2,0.0,no,1,2,      046206501
463,4,1,1,4.0,,1,1,      046300401
465,113,1,1,2.0,no,1,1,      046511301
467,93,1,1,4.0,no,1,3,      046709301
473,101,1,13,0.0,no,1,1,      047310101
479,1,1,5,0.0,,1,1,      047900101
479,3,1,1,0.0,,1,1,      047900301
479,5,1,0,2.0,no,1,4,      047900501
483,7,1,0,2.0,no,1,2,      048300701
483,8,1,1,0.0,si,1,1,      048300801
483,8,1,1,0.0,si,2,2,      048300801
483,8,1,1,0.0,no,3,3,      048300801
483,27,1,5,0.0,si,1,1,      048302701
483,27,1,5,0.0,,2,2,      048302701
483,30,1,10,0.0,si,1,1,      048303001
483,30,1,10,0.0,si,2,2,      048303001
483,30,1,6,0.0,no,3,5,      048303001
484,59,1,0,1.0,no,1,7,      048405901
485,11,1,4,4.0,no,1,2,      048501101
485,12,1,10,0.0,no,1,2,      048501201
485,13,1,0,4.0,no,1,3,      048501301
485,14,1,3,0.0,no,1,1,      048501401
485,17,1,4,3.0,no,1,2,      048501701
485,18,1,10,0.0,,1,1,      048501801
485,19,1,14,1.0,no,1,2,      048501901
485,20,1,10,0.0,si,1,1,      048502001
485,20,1,10,0.0,no,2,4,      048502001
485,21,1,5,4.0,no,1,2,      048502101
485,23,1,2,1.0,no,1,2,      048502301
485,24,1,5,0.0,no,1,1,      048502401
486,73,1,5,0.0,no,1,2,      048607301
486,77,1,no sabe,,no,1,2,      048607701
489,11,1,10,0.0,no,1,2,      048901101
489,16,1,3,0.0,,1,1,      048901601
489,19,1,1,0.0,no,1,2,      048901901
489,51,1,1,0.0,no,1,2,      048905101
489,52,1,4,6.0,no,1,2,      048905201
489,54,1,no sabe,,,1,1,      048905401
490,134,1,no sabe,,no,1,2,      049013401
490,135,1,0,3.0,no,1,2,      049013501
490,136,1,10,0.0,no,1,2,      049013601
490,137,1,7,0.0,no,1,2,      049013701
491,36,1,6,0.0,no,1,2,      049103601
491,38,1,no sabe,,no,1,2,      049103801
491,39,1,4,0.0,no,1,2,      049103901
491,46,1,12,0.0,no,3,1,      049104601
491,46,1,8,0.0,si,1,2,      049104601
491,46,1,1,0.0,si,2,4,      049104601
491,49,1,10,0.0,no,1,2,      049104901
491,50,1,1,3.0,no,1,4,      049105001
491,67,1,10,0.0,no,1,2,      049106701
491,70,1,10,0.0,no,1,2,      049107001
492,2,1,10,0.0,no,1,2,      049200201
492,5,1,10,0.0,no,1,4,      049200501
492,16,1,15,0.0,si,1,2,      049201601
492,16,1,10,0.0,no,2,3,      049201601
492,18,1,5,0.0,no,1,2,      049201801
492,19,1,3,0.0,no,1,2,      049201901
492,20,1,2,0.0,no,1,2,      049202001
492,26,1,0,0.0,no,1,5,      049202601
492,27,1,12,0.0,no,1,2,      049202701
492,28,1,0,6.0,no,1,2,      049202801
492,30,1,18,0.0,no,1,2,      049203001
495,24,1,2,5.0,no,1,1,      049502401
495,27,1,2,2.0,no,1,2,      049502701
495,30,1,4,3.0,no,1,2,      049503001
496,38,1,3,0.0,no,1,1,      049603801
496,46,1,0,7.0,no,2,1,      049604601
496,46,1,0,7.0,si,1,4,      049604601
497,26,1,3,0.0,no,1,2,      049702601
497,35,1,2,0.0,no,1,2,      049703501
497,41,1,5,0.0,no,1,2,      049704101
497,44,1,6,0.0,no,1,1,      049704401
497,56,1,5,2.0,no,1,2,      049705601
498,22,1,9,0.0,no,1,2,      049802201
498,24,1,6,0.0,,1,1,      049802401
498,31,1,10,0.0,,1,1,      049803101
498,34,1,6,0.0,no,1,2,      049803401
498,36,1,4,0.0,no,1,1,      049803601
498,37,1,9,0.0,no,1,1,      049803701
498,39,1,9,0.0,no,1,2,      049803901
498,40,1,5,0.0,no,1,2,      049804001
499,43,1,3,0.0,no,1,2,      049904301
499,45,1,2,0.0,no,1,2,      049904501
500,36,1,2,0.0,no,1,2,      050003601
500,37,1,5,0.0,no,1,2,      050003701
500,39,1,1,0.0,no,1,2,      050003901
501,33,1,2,0.0,no,1,2,      050103301
502,3,1,0,7.0,no,1,2,      050200301
502,49,1,2,7.0,no,1,4,      050204901
531,62,1,1,0.0,no,1,2,      053106201
533,65,1,0,5.0,no,1,2,      053306501
533,77,1,2,0.0,no,1,1,      053307701
536,38,1,2,0.0,no,1,2,      053603801
536,40,1,5,0.0,no,1,1,      053604001
554,47,1,5,0.0,si,1,3,      055404701
554,47,1,2,0.0,no,2,4,      055404701
555,51,1,2,4.0,no,1,2,      055505101
582,94,1,5,0.0,si,1,1,      058209401
582,94,1,3,0.0,,2,2,      058209401
626,3,1,10,0.0,,2,1,      062600301
626,3,1,10,0.0,si,1,2,      062600301
626,4,1,3,0.0,no,1,2,      062600401
626,5,1,1,0.0,si,1,1,      062600501
626,5,1,1,0.0,si,2,2,      062600501
626,5,1,1,0.0,si,3,3,      062600501
626,5,1,1,0.0,,4,4,      062600501
633,28,1,2,0.0,no,1,2,      063302801
634,34,1,0,1.0,no,1,3,      063403401
642,76,1,0,1.0,,1,1,      064207601
653,32,1,5,2.0,no,1,1,      065303201
669,51,1,4,3.0,no,1,1,      066905101
727,14,1,0,6.0,si,1,2,      072701401
727,14,1,0,6.0,no,2,5,      072701401
728,87,1,6,0.0,no,1,2,      072808701
736,2,1,2,0.0,no,1,3,      073600201
736,3,1,99,99.0,no,1,2,      073600301
736,4,1,2,0.0,no,1,3,      073600401
736,9,1,3,0.0,no,1,1,      073600901
737,41,1,3,0.0,si,1,1,      073704101
737,41,1,2,0.0,no,2,2,      073704101
737,42,1,10,0.0,no,1,2,      073704201
737,44,1,15,0.0,no,1,2,      073704401
737,71,1,3,0.0,no,1,2,      073707101
742,46,1,2,0.0,no,1,1,      074204601
742,50,1,2,0.0,no,1,2,      074205001
742,126,1,0,6.0,no,1,1,      074212601
743,64,1,2,0.0,no,1,1,      074306401
743,65,1,0,6.0,no,1,2,      074306501
743,74,1,1,0.0,no,1,2,      074307401
743,75,1,5,0.0,no,1,2,      074307501
759,102,1,0,6.0,si,1,2,      075910201
759,102,1,0,6.0,si,2,3,      075910201
759,102,1,0,6.0,no,3,4,      075910201
759,103,3,1,0.0,si,1,2,      075910303
759,103,3,1,0.0,no,2,3,      075910303
802,15,1,no sabe,,no,1,5,      080201501
802,31,1,2,no sabe,no,1,7,      080203101
803,79,1,11,0.0,si,1,6,      080307901
803,79,1,0,5.0,no,2,9,      080307901
803,83,1,3,0.0,no,1,3,      080308301
814,76,1,4,0.0,si,2,1,      081407601
814,76,1,18,0.0,si,1,2,      081407601
814,76,1,10,0.0,no,3,3,      081407601
826,25,1,3,0.0,si,1,2,      082602501
826,25,1,3,0.0,si,2,3,      082602501
826,25,1,3,0.0,no,3,4,      082602501
828,52,1,0,1.0,no,1,1,      082805201
828,102,2,1,0.0,no,1,2,      082810202
830,111,1,1,6.0,no,1,1,      083011101
834,20,1,1,0.0,si,1,1,      083402001
834,20,1,1,0.0,si,2,2,      083402001
834,20,1,1,0.0,si,3,3,      083402001
834,20,1,1,0.0,si,4,4,      083402001
834,20,1,1,0.0,,5,5,      083402001
834,87,1,3,0.0,si,1,1,      083408701
834,87,1,3,0.0,si,2,2,      083408701
834,87,1,3,0.0,si,3,3,      083408701
834,87,1,3,0.0,si,4,4,      083408701
834,87,1,1,3.0,,5,5,      083408701
834,138,1,1,2.0,si,1,1,      083413801
834,138,1,1,2.0,no,2,3,      083413801
838,62,1,6,0.0,no,1,2,      083806201
842,59,1,3,0.0,si,1,1,      084205901
842,59,1,3,0.0,,2,2,      084205901
854,58,1,0,1.0,no,1,2,      085405801
872,1,2,1,0.0,no,1,2,      087200102
909,125,1,16,0.0,no,1,2,      090912501
910,35,3,0,5.0,si,1,1,      091003503
910,35,3,0,5.0,si,2,2,      091003503
910,35,3,0,5.0,si,3,3,      091003503
910,35,3,0,5.0,,4,4,      091003503
915,94,1,0,5.0,no,1,2,      091509401
917,16,1,0,0.0,si,1,3,      091701601
917,16,1,0,0.0,no,2,4,      091701601
926,27,1,2,0.0,no,1,1,      092602701
926,27,2,11,0.0,si,1,1,      092602702
926,27,2,11,0.0,si,2,2,      092602702
926,27,2,11,0.0,si,3,3,      092602702
926,27,2,4,0.0,,4,4,      092602702
