qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
545,23,1,0,3.0,,1,4,      054502301
547,80,1,1,6.0,no,1,4,      054708001
548,34,1,0,6.0,,1,5,      054803401
548,54,1,0,9.0,,1,5,      054805401
561,21,1,0,3.0,,1,3,      056102101
561,22,1,0,10.0,no,1,8,      056102201
561,23,1,0,0.0,,1,6,      056102301
562,39,1,1,2.0,,1,3,      056203901
562,59,1,1,0.0,,1,5,      056205901
562,114,1,1,4.0,,1,3,      056211401
562,116,1,0,2.0,,1,5,      056211601
601,28,1,0,1.0,,1,6,      060102801
605,132,1,0,6.0,,1,4,      060513201
613,24,1,2,0.0,no,1,5,      061302401
617,82,1,0,3.0,no,1,9,      061708201
618,29,1,0,2.0,,1,3,      061802901
619,16,1,0,2.0,,1,4,      061901601
640,48,1,99,99.0,,1,5,      064004801
643,56,1,0,1.0,no,1,10,      064305601
652,50,1,0,1.0,,1,3,      065205001
652,67,1,1,6.0,,1,4,      065206701
659,77,1,0,6.0,,1,4,      065907701
665,75,1,0,5.0,,1,7,      066507501
666,6,1,0,3.0,,1,5,      066600601
672,125,1,1,3.0,,1,5,      067212501
675,14,1,0,6.0,,1,7,      067501401
675,28,1,0,10.0,,1,3,      067502801
677,46,1,1,1.0,,1,5,      067704601
677,48,1,0,6.0,,1,7,      067704801
677,49,1,1,1.0,,1,3,      067704901
677,51,1,0,6.0,,1,3,      067705101
677,55,1,1,0.0,,1,2,      067705501
677,87,1,1,0.0,,1,5,      067708701
683,61,1,1,6.0,,1,7,      068306101
701,50,1,1,9.0,,1,5,      070105001
711,66,1,0,6.0,,1,5,      071106601
735,90,1,0,1.0,,1,4,      073509001
738,65,1,1,7.0,,1,4,      073806501
738,103,1,0,5.0,,1,4,      073810301
738,104,1,0,1.0,,1,4,      073810401
741,29,1,0,4.0,,1,6,      074102901
741,30,1,1,7.0,,1,8,      074103001
741,33,1,0,6.0,,1,6,      074103301
741,109,1,1,0.0,,1,3,      074110901
741,113,1,1,0.0,no,1,10,      074111301
742,123,1,0,4.0,,1,7,      074212301
746,68,1,0,4.0,,1,7,      074606801
746,132,1,0,no sabe,,1,4,      074613201
759,27,1,0,8.0,,1,4,      075902701
771,49,1,0,2.0,,1,3,      077104901
775,60,1,0,6.0,,1,4,      077506001
778,19,1,0,1.0,,1,4,      077801901
781,91,1,1,0.0,,1,6,      078109101
784,1,1,1,1.0,,1,6,      078400101
790,17,1,0,8.0,,1,4,      079001701
853,31,1,0,0.0,,1,6,      085303101
863,42,1,0,5.0,,1,4,      086304201
863,51,1,0,9.0,,1,4,      086305101
888,40,1,1,0.0,,1,9,      088804001
906,125,1,1,4.0,,1,6,      090612501
941,30,1,99,99.0,,1,6,      094103001
942,66,1,0,4.0,,1,3,      094206601
947,58,1,0,8.0,,1,3,      094705801
952,66,1,1,0.0,no,1,10,      095206601
959,85,1,0,3.0,,1,5,      095908501
959,125,1,1,5.0,,1,8,      095912501
961,68,1,0,1.0,,1,6,      096106801
963,8,1,0,1.0,,1,4,      096300801
967,36,1,0,4.0,,1,5,      096703601
968,8,1,1,6.0,,1,3,      096800801
968,132,1,1,0.0,,1,6,      096813201
979,19,1,0,6.0,,1,11,      097901901
995,83,1,0,1.0,,1,4,      099508301
1000,72,1,0,3.0,,1,3,      100007201
1005,1,1,0,2.0,,1,5,      100500101
1010,86,1,0,6.0,,1,5,      101008601
1026,130,1,0,2.0,no,1,4,      102613001
1026,130,2,0,2.0,,1,3,      102613002
1026,162,1,0,8.0,,1,4,      102616201
1028,79,1,0,3.0,,1,6,      102807901
1064,45,1,0,1.0,,1,5,      106404501
1067,4,1,0,2.0,,1,6,      106700401
1118,6,1,0,1.0,,1,7,      111800601
1123,99,1,0,5.0,,1,3,      112309901
1130,29,1,1,1.0,,1,5,      113002901
1145,31,1,0,3.0,,1,6,      114503101
1150,23,1,1,0.0,,1,5,      115002301
1152,39,1,1,5.0,,1,3,      115203901
1152,67,1,1,0.0,,1,3,      115206701
