qhcluster,qhnumber,qhhome,ps100_1a,ps100_1m,ps100_1s,ps3,hvidx,hhid
288,27,1,2,6.0,,1,1,      028802701
288,43,1,3,0.0,,1,1,      028804301
288,47,1,no sabe,,,1,1,      028804701
289,25,1,2,3.0,,1,1,      028902501
294,142,1,1,0.0,,1,8,      029414201
306,168,1,0,10.0,no,1,3,      030616801
308,69,1,1,6.0,,1,1,      030806901
310,79,1,0,2.0,,1,1,      031007901
312,43,1,1,0.0,si,1,1,      031204301
312,43,1,0,6.0,,2,2,      031204301
313,42,1,0,4.0,,1,5,      031304201
313,48,1,2,no sabe,no,1,2,      031304801
315,113,1,2,6.0,,1,1,      031511301
317,96,1,3,0.0,no,1,1,      031709601
317,103,1,2,0.0,,1,1,      031710301
318,70,1,0,4.0,,2,1,      031807001
318,70,1,0,7.0,si,1,2,      031807001
320,61,1,0,2.0,no,1,1,      032006101
320,71,1,0,10.0,,1,1,      032007101
321,5,1,1,5.0,,1,1,      032100501
321,13,1,0,6.0,,1,2,      032101301
322,49,1,1,0.0,,1,6,      032204901
324,32,1,1,0.0,,1,1,      032403201
325,108,1,2,0.0,,1,1,      032510801
327,142,1,1,no sabe,,1,1,      032714201
328,7,1,4,0.0,si,1,1,      032800701
328,7,1,4,0.0,,2,2,      032800701
328,40,1,0,6.0,no,1,2,      032804001
328,61,1,0,9.0,,1,1,      032806101
329,7,1,0,1.0,no,1,2,      032900701
329,73,1,1,0.0,,1,1,      032907301
331,41,1,3,0.0,,1,1,      033104101
333,14,1,0,8.0,si,1,1,      033301401
333,14,1,0,11.0,,2,2,      033301401
335,26,1,1,no sabe,si,1,1,      033502601
335,26,1,1,no sabe,,2,2,      033502601
335,49,1,1,no sabe,,1,1,      033504901
336,16,1,1,no sabe,si,1,1,      033601601
336,16,1,1,no sabe,,2,2,      033601601
336,18,1,0,6.0,,1,1,      033601801
336,82,1,1,0.0,no,1,1,      033608201
336,84,1,1,0.0,no,1,2,      033608401
336,104,1,0,6.0,,1,1,      033610401
336,105,1,0,6.0,no,1,2,      033610501
338,7,1,1,0.0,si,1,1,      033800701
338,7,1,0,4.0,,2,2,      033800701
339,16,1,1,11.0,si,1,1,      033901601
339,16,1,1,11.0,,2,2,      033901601
339,30,1,2,0.0,,1,4,      033903001
351,137,1,0,2.0,si,1,1,      035113701
351,137,1,0,2.0,,2,2,      035113701
369,143,1,0,3.0,no,1,1,      036914301
403,21,1,0,2.0,,1,2,      040302101
420,96,1,1,0.0,,1,1,      042009601
425,49,1,0,4.0,,1,1,      042504901
429,1,1,4,0.0,,1,1,      042900101
429,17,1,1,0.0,,1,7,      042901701
429,29,1,2,0.0,,1,6,      042902901
429,70,1,1,0.0,,1,6,      042907001
431,22,1,0,2.0,si,1,4,      043102201
431,22,1,0,0.0,,2,5,      043102201
435,27,1,0,4.0,,1,1,      043502701
437,14,1,0,4.0,no,1,1,      043701401
437,44,1,0,6.0,,1,1,      043704401
437,48,1,0,8.0,no,1,1,      043704801
437,100,1,1,6.0,si,1,1,      043710001
437,100,1,1,6.0,,2,2,      043710001
439,36,1,0,8.0,si,1,1,      043903601
439,36,1,0,4.0,,2,2,      043903601
439,50,1,0,4.0,si,1,1,      043905001
439,50,1,0,2.0,,2,2,      043905001
439,52,1,0,8.0,,1,1,      043905201
441,26,1,1,6.0,no,1,1,      044102601
441,77,1,1,6.0,,1,1,      044107701
442,88,1,0,8.0,si,1,1,      044208801
442,88,1,0,8.0,,2,2,      044208801
442,110,1,0,8.0,,1,1,      044211001
443,16,1,0,2.0,,1,1,      044301601
443,73,1,0,6.0,no,1,1,      044307301
444,57,1,1,4.0,,1,1,      044405701
445,14,1,1,5.0,,1,4,      044501401
445,34,1,1,6.0,si,1,1,      044503401
445,34,1,1,6.0,,2,2,      044503401
446,37,1,2,1.0,si,1,1,      044603701
446,37,1,2,1.0,,2,2,      044603701
446,38,1,1,3.0,si,1,1,      044603801
446,38,1,1,3.0,,2,2,      044603801
446,73,1,1,no sabe,,1,7,      044607301
447,28,1,2,0.0,,1,1,      044702801
