HHID,SH81A,SH81B,SH81C,SH81D,SH81E,SH81F,SH81G
"001200101",0,0,0,0,0,0,0
"001200201",0,0,0,0,0,0,0
"001200301",0,0,0,0,0,0,0
"001200401",0,0,0,0,0,0,0
"001200601",0,0,0,0,0,0,0
"001200701",0,0,0,0,0,0,0
"001200801",0,0,0,0,0,0,0
"001203401",0,0,0,0,0,0,0
"001203501",0,0,0,0,0,0,0
"001203601",0,0,0,0,0,0,0
"001203701",0,0,0,0,0,0,0
"001203901",0,0,0,0,0,0,0
"001204001",0,0,0,0,0,0,0
"001204101",0,0,0,0,0,0,0
"001207501",0,0,0,0,0,0,0
"001207601",0,0,0,0,0,0,0
"001207701",0,1,0,0,0,0,0
"001207801",0,0,0,0,1,0,0
"001207901",0,0,0,0,1,0,0
"001208001",0,0,0,0,0,0,0
"001208101",0,0,0,0,0,0,0
"001208201",0,0,0,0,0,0,0
"001300901",0,1,0,0,0,0,0
"001301001",0,0,0,0,0,0,0
"001301101",0,0,0,0,0,0,0
"001301201",0,0,0,0,0,0,0
"001301301",0,0,0,0,0,0,0
"001301401",0,0,0,0,0,0,0
"001301501",1,0,0,0,0,0,0
"001301601",0,0,0,0,0,0,0
"001303301",0,0,0,0,0,0,0
"001303401",0,0,0,0,0,0,0
"001303501",0,0,0,0,0,0,0
"001303601",0,0,0,0,0,0,0
"001303701",0,0,0,0,0,0,0
"001303801",0,0,0,0,0,0,0
"001303901",0,0,0,0,0,0,0
"001304001",0,0,0,0,0,0,0
"001304901",0,1,0,0,0,0,0
"001305001",0,0,0,0,0,0,0
"001305101",1,1,0,0,0,0,0
"001305201",0,0,0,0,0,0,0
"001305401",0,1,0,0,0,0,0
"001305501",0,0,0,0,0,0,0
"001305601",0,0,0,0,0,0,0
"001400701",0,0,0,0,0,0,0
"001401401",0,0,0,0,0,0,0
"001402101",0,0,0,0,0,0,0
"001402801",0,0,0,0,0,0,0
"001403501",0,0,0,0,0,0,0
"001404201",0,0,0,0,0,0,0
"001405701",1,0,0,0,0,0,0
"001406401",0,0,0,0,0,0,0
"001407101",0,0,0,0,0,0,0
"001407801",0,0,0,0,0,0,0
"001408501",0,0,0,0,0,0,0
"001409201",0,0,0,0,0,0,0
"001409901",0,0,0,0,0,0,0
"001410601",0,0,0,0,0,0,0
"001411301",1,0,0,0,0,0,0
"001412001",1,0,0,0,0,0,0
"001412701",0,0,0,0,0,0,0
"001413501",0,1,0,0,0,0,0
"001414201",0,0,0,0,0,0,0
"001414901",0,0,0,0,0,0,0
"001416301",0,0,0,0,0,0,0
"001417001",0,0,0,0,0,0,0
"001501801",0,0,0,0,0,0,0
"001501901",0,1,0,0,0,0,0
"001502001",0,0,0,0,0,0,0
"001502101",1,0,0,0,0,0,0
"001502201",0,0,0,0,0,0,0
"001502301",0,0,0,0,0,0,0
"001502401",0,0,0,0,0,0,0
"001502501",0,0,0,0,0,0,0
"001505801",0,0,0,0,0,0,0
"001505901",0,0,0,0,0,0,0
"001506001",0,0,0,0,0,0,0
"001506201",0,0,0,0,0,0,0
"001506301",0,0,0,0,0,0,0
"001506401",1,0,0,0,0,0,0
"001506501",0,0,0,0,0,0,0
"001509101",1,1,0,0,1,0,0
"001509201",0,0,0,0,0,0,0
"001509301",0,0,0,0,1,0,0
"001509401",0,1,0,0,0,0,0
"001509501",0,0,0,0,0,0,0
"001509601",0,0,0,0,0,0,0
"001509701",0,0,0,0,0,0,0
"001511501",0,1,0,0,0,0,0
"001603501",0,0,0,0,0,0,0
"001603601",0,0,0,0,0,0,0
"001603701",0,0,0,0,0,0,0
"001603801",0,0,0,0,0,0,0
"001603901",0,0,0,0,0,0,0
"001604001",0,0,0,0,0,0,0
"001604101",0,0,0,0,0,0,0
"001608301",0,0,0,0,0,0,0
"001608401",0,0,0,0,0,0,0
"001608501",0,0,0,0,0,0,0
"001608701",0,0,0,0,0,0,0
"001608901",0,0,0,0,0,0,0
"001609001",0,0,0,0,0,0,0
"001613901",0,0,0,0,0,0,0
"001614001",0,0,0,0,0,0,0
"001614101",0,0,0,0,0,0,0
"001614201",0,0,0,0,0,0,0
"001614301",0,0,0,0,0,0,0
"001614401",0,0,0,0,0,0,0
"001614501",0,0,0,0,0,0,0
"001614601",0,0,0,0,0,0,0
"001702401",0,0,0,0,0,0,0
"001702501",0,0,0,0,0,0,0
"001702601",0,0,0,0,0,0,0
"001702701",0,0,0,0,0,0,0
"001702801",0,0,0,0,0,0,0
"001702901",0,0,0,0,0,0,0
"001703001",0,0,0,0,0,0,0
"001703101",0,0,0,0,0,0,0
"001703201",0,0,0,0,0,0,0
"001705601",0,0,0,0,0,0,0
"001705701",0,0,0,0,0,0,0
"001705801",0,0,0,0,0,0,0
"001705901",0,0,0,0,1,0,1
"001706001",0,1,0,0,0,0,0
"001706101",0,0,0,0,0,0,0
"001706201",0,0,0,0,0,0,0
"001706301",0,0,0,0,0,0,0
"001706401",0,0,0,0,0,0,0
"001708701",0,0,0,0,0,0,0
"001708801",0,0,0,0,0,0,0
"001708901",0,0,0,0,0,0,0
"001709001",0,0,0,0,0,0,0
"001709101",0,0,0,0,0,0,0
"001709201",0,0,0,0,0,0,0
"001800701",0,0,0,0,0,0,0
"001801001",0,0,0,0,0,0,0
"001801101",0,0,0,0,0,0,0
"001801201",0,0,0,0,0,0,0
"001801301",0,0,0,0,0,0,0
"001801401",0,0,0,0,0,0,0
"001801501",0,0,0,0,0,0,0
"001801601",0,0,0,0,0,0,0
"001806501",0,0,0,0,0,1,0
"001806601",1,0,0,0,0,0,0
"001806701",0,0,0,0,0,0,0
"001806801",0,0,0,0,0,0,0
"001807001",0,0,0,0,0,0,0
"001807101",0,0,0,0,0,0,0
"001807201",0,0,0,0,0,0,0
"001808101",0,0,0,0,0,0,0
"001812501",0,0,0,0,0,0,0
"001812701",0,0,0,0,0,0,0
"001813001",0,0,0,0,0,0,0
"001813201",0,0,0,0,0,0,0
"001813301",0,0,0,0,0,0,0
"001813401",0,1,0,0,0,0,0
"001813501",0,0,0,0,0,0,0
"001813601",0,0,0,0,0,0,0
"001900901",0,0,0,0,0,0,0
"001901001",0,0,0,0,0,0,0
"001901101",0,0,0,0,0,0,0
"001901201",0,0,0,0,0,0,0
"001901301",0,0,0,0,1,0,0
"001901401",0,0,0,0,0,0,0
"001901601",0,0,0,0,0,0,0
"001905101",0,0,0,0,0,0,0
"001905201",0,0,0,0,0,0,0
"001905301",0,0,0,0,0,0,0
"001905401",1,0,0,0,1,1,0
"001905501",0,0,0,0,0,0,0
"001905701",0,0,0,0,0,0,0
"001905801",0,0,0,0,0,0,0
"001908301",0,0,0,0,0,0,0
"001908401",0,0,0,0,0,0,0
"001908501",1,0,0,1,0,0,0
