ID1,HHID,NRO_ORDEN,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2019,"033504601",1,1,71,3,2015,nan
2019,"033601501",1,2,87,7,2014,nan
2019,"033701501",1,1,78,9,2015,nan
2019,"033707101",1,1,80,6,2014,nan
2019,"033904401",1,1,66,3,2018,nan
2019,"033906001",1,1,53,2,2017,nan
2019,"034014701",1,1,80,7,2017,nan
2019,"034014701",2,1,81,4,2018,nan
2019,"034309701",1,1,77,5,2015,nan
2019,"034601401",1,1,35,4,2015,nan
2019,"034811901",1,1,81,2,2017,nan
2019,"034902501",1,1,85,6,2014,nan
2019,"035003301",1,2,92,4,2018,nan
2019,"035003501",1,1,74,6,2018,nan
2019,"035006401",1,1,90,6,2015,nan
2019,"035210901",1,1,75,9,2016,nan
2019,"035301901",1,1,54,2,2018,nan
2019,"035409501",1,1,65,11,2014,nan
2019,"035505201",1,1,84,3,2018,nan
2019,"035506801",1,1,84,3,2016,nan
2019,"035709901",1,2,93,2,2018,nan
2019,"035800101",1,1,27,5,2016,nan
2019,"036403901",1,2,84,6,2015,nan
2019,"036702701",1,1,62,10,2017,nan
2019,"036706701",1,2,84,11,2016,nan
2019,"036908801",1,1,80,11,2016,nan
2019,"037112701",1,1,85,12,2016,nan
2019,"037203401",1,1,55,11,2014,nan
2019,"037602501",1,1,57,10,2018,nan
2019,"037906201",1,1,69,8,2017,nan
2019,"038004901",1,2,55,1,2019,nan
2019,"038107801",1,1,72,5,2016,nan
2019,"038110901",1,1,56,1,2014,nan
2019,"038609901",1,1,40,8,2014,nan
2019,"038813101",1,1,8,2,2017,nan
2019,"038909101",1,1,82,9,2018,nan
2019,"039110801",1,1,79,6,2018,nan
2019,"039110801",2,2,80,10,2018,nan
2019,"039303601",1,1,63,3,2015,nan
2019,"039307301",1,1,86,1,2015,nan
2019,"039307301",2,2,60,8,2017,nan
2019,"039406501",1,1,74,5,2016,nan
2019,"039508301",1,1,96,11,2017,nan
2019,"039508301",2,2,99,2,2019,nan
2019,"039510801",1,2,43,4,2017,4
2019,"039602801",1,2,74,2,2019,nan
2019,"039705501",1,1,67,7,2016,nan
2019,"039715301",1,1,63,12,2015,nan
2019,"040011501",1,1,47,3,2019,nan
2019,"040103501",1,2,77,6,2018,nan
2019,"040104401",1,1,40,2,2019,nan
2019,"040114501",1,2,62,10,2018,nan
2019,"040201201",1,2,23,9,2014,4
2019,"040201201",2,1,30,3,2016,nan
2019,"040208901",1,1,89,5,2015,nan
2019,"040409502",1,1,82,5,2017,nan
2019,"040409801",1,1,53,9,2017,nan
2019,"040611101",1,1,85,5,2018,nan
2019,"040702301",1,1,83,9,2017,nan
2019,"040801901",1,2,70,2,2017,nan
2019,"041207201",1,2,94,11,2018,nan
2019,"041306601",1,2,57,7,2014,nan
2019,"041615601",1,2,62,5,2015,nan
2019,"041804401",1,1,82,11,2017,nan
2019,"041902601",1,1,60,3,2015,nan
2019,"042003501",1,2,75,3,2016,nan
2019,"042106601",1,2,85,7,2015,nan
2019,"042405401",1,2,68,11,2015,nan
2019,"042510601",1,2,76,2,2018,nan
2019,"042513101",1,2,81,4,2014,nan
2019,"042513101",2,1,0,8,2015,nan
2019,"042519501",1,2,67,9,2018,nan
2019,"042604401",1,2,75,9,2015,nan
2019,"042605301",1,2,98,4,2018,nan
2019,"042607401",1,1,82,12,2016,nan
2019,"042609901",1,2,93,12,2017,nan
2019,"042803001",1,2,57,6,2018,nan
2019,"043200101",1,1,90,7,2016,nan
